source,authors,year,title,journal,vol,pages,antag,additive,synerg,review,times.cited
Scopus,"Gardner, T.",2002,Declining amphibian populations: A global phenomenon in conservation biology [DisminucioՁn de las poblaciones de anfibios: Un fenoՁmeno global en biologiՁa de la conservacioՁn],Animal Biodiversity and Conservation,24,25-44,0,0,1,1,NA
WOS,"K.W. Chu, K.L. Chen",2002,Synergistic toxicity of multiple heavy metals is revealed by a biological assay using a nematode and its transgenic derivative,Aquatic Toxicology,61,53-64,0,1,1,0,NA
Scopus,"Pattanavibool, A., Dearden, P.",2002,"Fragmentation and wildlife in montane evergreen forests, northern Thailand",Biological Conservation,107,155-164,0,0,1,0,NA
WOS,J. C. Goold,2002,"North Atlantic Sperm Whale, Physeter macrocephalus, strandings on the coastlines of the British Isles and Eastern Canada",Canadian Field Naturalist,116,371-388,0,0,1,0,NA
WOS,L. S. Dias,2002,Interaction between water soluble and volatile compounds of Cistus ladanifer L,Chemoecology,12,77-82,1,0,0,0,NA
WOS,M. Pahkala,2002,Lethal and sublethal effects of UV-B/pH synergism on common frog embryos,Conservation Biology,16,1063-1073,0,0,1,0,NA
Scopus,"Pahkala M., Rasanen K., Laurila A., Johanson U., Bjorn L.O., Merila J.",2002,Lethal and sublethal effects of UV-B/pH synergism on common frog embryos,Conservation Biology,16,1063-1073,0,0,1,0,NA
WOS,W. F. Laurance,2002,Ecosystem decay of Amazonian forest fragments: A 22-year investigation,Conservation Biology,16,605-618,0,0,1,0,NA
Scopus,"McClanahan, T., Polunin, N., Done, T.",2002,Ecological states and the resilience of coral reefs,Conservation Ecology,6,-,1,1,1,1,NA
WOS,C. Barata,2002,Demographic responses of a tropical cladoceran to cadmium: Effects of food supply and density,Ecological Applications,12,552-564,1,0,0,0,NA
WOS,S. E. Gergel,2002,Assessing cumulative impacts of levees and dams on floodplain ponds: A neutral-terrain model approach,Ecological Applications,12,1740-1754,1,0,1,0,NA
WOS,M. A. Xenopoulos,2002,Joint effects of UV radiation and phosphorus supply on algal growth rate and elemental composition,Ecology,83,423-435,0,0,1,0,NA
WOS,N. L. Fowler,2002,"The joint effects of grazing, competition, and topographic position on six savanna grasses",Ecology,83,2477-2488,1,0,0,0,NA
WOS,L. J. Hansen,2002,Solar UV radiation enhances the toxicity of arsenic in Ceriodaphnia dubia,Ecotoxicology,11,279-287,0,0,1,0,NA
WOS,B. C. Verschoor,2002,Could plant-feeding nematodes affect the competition between grass species during succession in grasslands under restoration management?,Journal of Ecology,90,753-761,0,0,1,0,NA
WOS,D. Kulakowski,2002,Influences of fire history and topography on the pattern of a severe wind blowdown in a Colorado subalpine forest,Journal of Ecology,90,806-819,0,0,1,0,NA
WOS,M. A. Cochrane,2002,Fire as a large-scale edge effect in Amazonian forests,Journal of Tropical Ecology,18,311-325,0,0,1,0,NA
WOS,M. Kellman,2002,Nutrient retention by tropical ecosystems: soil adsorption and plant absorption as synergistic processes,Journal of Tropical Ecology,18,877-895,0,0,1,0,NA
WOS,C. Arvanitidis,2002,Seascape biodiversity patterns along the Mediterranean and the Black Sea: lessons from the biogeography of benthic polychaetes,Marine Ecology Progress Series,244,139-152,0,0,1,0,NA
Scopus,"Celliers, L., Schleyer, M.H.",2002,"Coral bleaching on high-latitude marginal reefs at Sodwana Bay, South Africa",Marine Pollution Bulletin,44,1380-1387,0,0,1,0,NA
Scopus,"Crosby, M.P., Brighouse, G., Pichon, M.",2002,Priorities and strategies for addressing natural and anthropogenic threats to coral reefs in Pacific Island Nations,Ocean and Coastal Management,45,121-137,0,0,1,0,NA
Scopus,"Kiesecker, J.M.",2002,Synergism between trematode infection and pesticide exposure: A link to amphibian limb deformities in nature?,Proceedings of the National Academy of Sciences,99,9900-9904,0,0,1,0,NA
WOS,R. S. Hames,2002,Adverse effects of acid rain on the distribution of the Wood Thrush Hylocichla mustelina in North America,Proceedings of the National Academy of Sciences,99,11235-11240,0,0,1,0,NA
Scopus,"Harvell, C.D., Mitchell, C.E., Ward, J.R., Altizer, S., Dobson, A.P., Ostfeld, R.S., Samuel, M.D.",2002,Climate warming and disease risks for terrestrial and marine biota,Science,296,2158-2162,0,0,1,1,NA
Scopus,"Caravaca, F., Barea, J.M., RoldaՁn, A.",2002,Synergistic influence of an arbuscular mycorrhizal fungus and organic amendment on Pistacia lentiscus L. seedlings afforested in a degraded semiarid soil,Soil Biology and Biochemistry,34,1139-1145,0,0,1,0,NA
WOS,E. K. Hartig,2002,"Anthropogenic and climate-change impacts on salt marshes of Jamaica Bay, New York City",Wetlands,22,71-89,0,0,1,0,NA
WOS,V. Gulis,2003,Interactions between stream fungi and bacteria associated with decomposing leaf litter at different levels of nutrient availability,Aquatic Microbial Ecology,30,149-157,1,0,0,0,NA
WOS,C. Herbrandson,2003,Influence of suspended solids on acute toxicity of carbofuran to Daphnia magna: I. Interactive effects,Aquatic Toxicology,63,333-342,0,0,1,0,NA
WOS,W. E. Cooper,2003,"Effects of risk, cost, and their interaction on optimal escape by nonrefuging Bonaire whiptail lizards, Cnemidophorus murinus",Behavioral Ecology,14,288-293,0,1,1,0,NA
